timestamp,hostname,program,pid,message,level,source_ip,user
2026-02-25 10:00:01,host-a,sshd,1234,"Accepted password for user1 from 192.168.1.10 port 54321 ssh2",INFO,192.168.1.10,user1
2026-02-25 10:00:05,host-b,kernel,,"usb 1-1: new high-speed USB device number 2 using ehci-pci",INFO,,
2026-02-25 10:00:10,host-a,sudo,5678,"user1 : TTY=pts/0 ; PWD=/home/user1 ; USER=root ; COMMAND=/usr/bin/apt update",INFO,,user1
2026-02-25 10:00:15,host-c,CRON,9876,"(root) CMD (command -v lsb_release >/dev/null && lsb_release -cs || echo trusty)",INFO,,root
2026-02-25 10:00:20,host-a,sshd,1235,"Failed password for invalid user from 192.168.1.11 port 54322 ssh2",ERROR,192.168.1.11,invalid user
2026-02-25 10:00:25,host-d,systemd,1,"Starting Cleanup of Temporary Directories...",INFO,,
2026-02-25 10:00:30,host-a,sshd,1236,"Failed password for user2 from 192.168.1.10 port 54323 ssh2",ERROR,192.168.1.10,user2
2026-02-25 10:00:35,host-e,kernel,,"ata1: link is slow to respond, please be patient (PHY changed)",INFO,,
2026-02-25 10:00:40,host-a,systemd,1,"Started Session 1 of user user1.",INFO,,user1
2026-02-25 10:00:45,host-f,apache2,1000,"[error] [client 10.0.0.5] File does not exist: /var/www/html/nonexistent.html",ERROR,10.0.0.5,
2026-02-25 10:00:50,host-a,sshd,1237,"Accepted password for user3 from 192.168.1.12 port 54324 ssh2",INFO,192.168.1.12,user3
2026-02-25 10:00:55,host-a,sudo,5679,"user3 : TTY=pts/0 ; PWD=/home/user3 ; USER=root ; COMMAND=/usr/bin/cat /etc/shadow",INFO,,user3
2026-02-25 10:01:00,host-g,kernel,,"NOHZ: local_softirq_pending 08",INFO,,
2026-02-25 10:01:05,host-a,sshd,1238,"Failed password for user4 from 192.168.1.11 port 54325 ssh2",ERROR,192.168.1.11,user4
2026-02-25 10:01:10,host-h,systemd,1,"Reached target Network.",INFO,,
2026-02-25 10:01:15,host-a,sshd,1239,"Accepted password for user5 from 192.168.1.13 port 54326 ssh2",INFO,192.168.1.13,user5
2026-02-25 10:01:20,host-a,apache2,1001,"[error] [client 10.0.0.6] File does not exist: /var/www/html/another_nonexistent.html",ERROR,10.0.0.6,
2026-02-25 10:01:25,host-a,sshd,1240,"Failed password for invalid user from 192.168.1.10 port 54327 ssh2",ERROR,192.168.1.10,invalid user
